TIMESTAMP,主爐爐底1,主爐爐底2,主爐爐底3,CHART_PARA_INDEX
"2016/12/1 下午 10:00:00","1324.099975586","1316.699951172","","1"
"2016/12/1 下午 11:00:00","1325.328578404","1318.050028483","1018.500000000","1"
"2016/12/2 上午 12:00:00","1325.220019531","1319.299987793","1018.799987793","1"
"2016/12/2 上午 01:00:00","1325.866617838","1318.800008138","1018.799987793","1"
"2016/12/2 上午 02:00:00","1326.866638183","1319.916666666","1018.799987793","1"
"2016/12/2 上午 03:00:00","1327.557128906","1320.733296712","1018.799987793","1"
"2016/12/2 上午 04:00:00","1326.949991862","1319.299996512","1019.137504577","1"
"2016/12/2 上午 05:00:00","1326.619995117","1319.580004882","1019.200012207","1"
"2016/12/2 上午 06:00:00","1326.483296712","1319.628574916","1019.350006103","1"
"2016/12/2 上午 07:00:00","1325.333374023","1318.460009765","1019.114292689","1"
"2016/12/2 上午 08:00:00","1325.028599330","1316.528581891","1019.000000000","1"
"2016/12/2 上午 09:00:00","1324.300000000","1316.959985351","1019.200012207","1"
"2016/12/2 上午 10:00:00","1324.816670735","1316.699971517","1019.250010172","1"
"2016/12/2 上午 11:00:00","1325.866658528","1317.857160295","1019.300008138","1"
"2016/12/2 下午 12:00:00","1325.112503051","1317.800024414","1019.033335367","1"
"2016/12/2 下午 01:00:00","1324.600006103","1316.533345540","1019.200012207","1"
"2016/12/2 下午 02:00:00","1324.866699218","1316.149963379","1019.200012207","1"
"2016/12/2 下午 03:00:00","1324.833353678","1316.983357747","1019.000000000","1"
"2016/12/2 下午 04:00:00","1324.700012207","1316.899983724","1019.000000000","1"
"2016/12/2 下午 05:00:00","1324.842895507","1317.133341471","1018.844434950","1"
"2016/12/2 下午 06:00:00","1324.580004882","1316.299987793","1018.574996948","1"
"2016/12/2 下午 07:00:00","1325.657139369","1316.366658528","1018.739990234","1"
"2016/12/2 下午 08:00:00","1326.519995117","1318.500000000","1018.857134137","1"
"2016/12/2 下午 09:00:00","1325.583333333","1318.066691080","1019.000000000","1"
"2016/12/2 下午 10:00:00","1324.414306640","1316.799975586","1019.160009765","1"
"2016/12/2 下午 11:00:00","1323.816650390","1314.649983724","1019.500000000","1"
"2016/12/3 上午 12:00:00","1323.460009765","1313.666666666","1019.733337402","1"
"2016/12/3 上午 01:00:00","1323.316650390","1315.283345540","1019.716674804","1"
"2016/12/3 上午 02:00:00","1323.183308919","1314.800008138","1019.620007324","1"
"2016/12/3 上午 03:00:00","1322.700038364","1315.233337402","1019.633341471","1"
"2016/12/3 上午 04:00:00","1321.400000000","1315.316691080","1019.328578404","1"
"2016/12/3 上午 05:00:00","1321.199991862","1314.657156808","1018.933329264","1"
"2016/12/3 上午 06:00:00","1320.866658528","1313.683329264","1018.500000000","1"
"2016/12/3 上午 07:00:00","1320.928571428","1312.057181222","1018.233330620","1"
"2016/12/3 上午 08:00:00","1320.549967448","1312.399993896","1017.724990844","1"
"2016/12/3 上午 09:00:00","1320.099975586","1311.733337402","1017.739990234","1"
"2016/12/3 上午 10:00:00","1321.366658528","1310.883321126","1017.633331298","1"
"2016/12/3 上午 11:00:00","1321.116658528","1311.142857142","1017.399993896","1"
"2016/12/3 下午 12:00:00","1320.216654459","1310.579980468","1017.214268275","1"
"2016/12/3 下午 01:00:00","1320.566650390","1311.033325195","1017.128548758","1"
"2016/12/3 下午 02:00:00","1320.199968610","1312.083353678","1016.842843192","1"
"2016/12/3 下午 03:00:00","1319.999975586","1313.099995931","1016.599975586","1"
"2016/12/3 下午 04:00:00","1318.785714285","1311.516662597","1016.449981689","1"
"2016/12/3 下午 05:00:00","1317.940014648","1309.471418108","1016.166646321","1"
"2016/12/3 下午 06:00:00","1316.900004069","1308.899983724","1015.779980468","1"
"2016/12/3 下午 07:00:00","1317.816691080","1308.280029296","1015.599975586","1"
"2016/12/3 下午 08:00:00","1318.999982561","1309.933308919","1015.400024414","1"
"2016/12/3 下午 09:00:00","1319.440014648","1311.714303152","1015.219995117","1"
"2016/12/3 下午 10:00:00","1320.057128906","1312.071446010","1015.033325195","1"
"2016/12/3 下午 11:00:00","1320.179956054","1311.725006103","1015.071411132","1"
"2016/12/4 上午 12:00:00","1320.614275251","1311.316670735","1015.280004882","1"
"2016/12/4 上午 01:00:00","1321.099975586","1314.466654459","1015.685695103","1"
"2016/12/4 上午 02:00:00","1321.216674804","1312.871425083","1015.979980468","1"
"2016/12/4 上午 03:00:00","1322.039990234","1313.683308919","1016.233317057","1"
"2016/12/4 上午 04:00:00","1321.014282226","1313.619995117","1016.277764214","1"
"2016/12/4 上午 05:00:00","1319.900000000","1312.128592354","1016.299987793","1"
"2016/12/4 上午 06:00:00","1319.914289202","1311.371425083","1015.959985351","1"
"2016/12/4 上午 07:00:00","1319.500000000","1311.350006103","1015.666646321","1"
"2016/12/4 上午 08:00:00","1319.599975586","1311.085710798","1016.088873969","1"
"2016/12/4 上午 09:00:00","1318.566670735","1310.449971517","1016.399983724","1"
"2016/12/4 上午 10:00:00","1316.899975586","1307.480004882","1016.199981689","1"
"2016/12/4 上午 11:00:00","1315.342860630","1305.633300781","1015.771414620","1"
"2016/12/4 下午 12:00:00","1314.666707356","1305.883300781","1015.519995117","1"
"2016/12/4 下午 01:00:00","1314.600000000","1304.885724748","1015.271432059","1"
"2016/12/4 下午 02:00:00","1314.800028483","1304.780004882","1014.933349609","1"
"2016/12/4 下午 03:00:00","1314.900024414","1306.585728236","1014.599975586","1"
"2016/12/4 下午 04:00:00","1315.233357747","1308.933308919","1014.566650390","1"
"2016/12/4 下午 05:00:00","1315.633341471","1308.183349609","1014.750000000","1"
"2016/12/4 下午 06:00:00","1315.649983724","1306.340014648","1014.900024414","1"
"2016/12/4 下午 07:00:00","1315.971435546","1305.866658528","1014.900024414","1"
"2016/12/4 下午 08:00:00","1316.000000000","1307.716674804","1014.599975586","1"
"2016/12/4 下午 09:00:00","1317.033325195","1309.483337402","1014.637481689","1"
"2016/12/4 下午 10:00:00","1317.149983724","1310.919995117","1014.433349609","1"
TIMESTAMP,主爐爐底1,主爐爐底2,主爐爐底3,CHART_PARA_INDEX
"2016/12/1 下午 10:00:00","1324.099975586","1316.699951172","","1"
"2016/12/1 下午 11:00:00","1325.328578404","1318.050028483","1018.500000000","1"
"2016/12/2 上午 12:00:00","1325.220019531","1319.299987793","1018.799987793","1"
"2016/12/2 上午 01:00:00","1325.866617838","1318.800008138","1018.799987793","1"
"2016/12/2 上午 02:00:00","1326.866638183","1319.916666666","1018.799987793","1"
